binder(kg/m3),pozzolan(kg/m3),fine_aggregate(kg/m3),water(kg/m3),foaming_agent(kg/m3),measured_density(kg/m3),period_of_testing(Days),compressive_strength(MPa)
450.37,0.0,900.74,202.6665,31.5,1553.78,28,11.96
449.9,0.0,899.8,202.45499999999998,31.5,1552.0,28,10.45
439.2,0.0,878.4,197.64,33.2,1515.26,28,12.51
441.7,0.0,883.4,198.765,32.8,1523.85,28,13.19
440.32,0.0,880.64,198.144,33.0,1519.11,28,11.48
488.9,0.0,977.8,220.005,25.6,1686.52,28,13.85
485.0,0.0,970.0,218.25,26.2,1673.48,28,13.33
485.8,0.0,971.6,218.61,26.1,1675.85,28,14.27
476.4,0.0,952.8,214.38,27.5,1643.56,28,13.18
480.4,0.0,960.8,216.18,26.9,1657.48,28,13.84
479.0,0.0,958.0,215.55,27.1,1652.74,28,12.65
546.6,0.0,1093.2,245.97000000000003,16.8,1885.63,28,33.99
545.9,0.0,1091.8,245.655,16.9,1883.26,28,30.43
549.0,0.0,1098.0,247.05,16.5,1893.93,28,34.66
540.5,0.0,1081.0,243.225,17.7,1864.89,28,30.28
548.3,0.0,1096.6,246.73499999999999,16.6,1891.56,28,31.7
539.5,0.0,1079.0,242.775,17.9,1861.33,28,28.11
837.3,0.0,837.3,334.92,8.1,2009.48,28,43.54
833.8,0.0,833.8,333.52,8.5,2001.19,28,43.79
831.9,0.0,831.9,332.76,8.7,1996.44,28,43.2
826.0,0.0,826.0,330.40000000000003,9.4,1982.22,28,39.87
821.7,0.0,821.7,328.68000000000006,9.8,1972.15,28,41.23
818.0,0.0,818.0,327.20000000000005,10.3,1963.26,28,40.96
728.0,0.0,728.0,291.2,20.1,1747.26,28,27.96
724.7,0.0,724.7,289.88000000000005,20.5,1739.26,28,28.12
724.3,0.0,724.3,289.71999999999997,20.5,1738.37,28,25.89
726.0,0.0,726.0,290.40000000000003,20.4,1742.22,28,27.34
721.23,0.0,721.23,288.492,20.9,1730.96,28,28.96
724.0,0.0,724.0,289.6,20.6,1737.48,28,28.27
596.54,0.0,596.54,238.61599999999999,34.6,1431.7,28,11.08
596.9,0.0,596.9,238.76,34.5,1432.59,28,10.74
598.8,0.0,598.8,239.51999999999998,34.3,1437.04,28,10.91
586.2,0.0,586.2,234.48000000000002,35.7,1406.81,28,9.2
590.9,0.0,590.9,236.36,35.2,1418.07,28,10.35
588.15,0.0,588.15,235.26,35.5,1411.56,28,9.33
816.13,0.0,816.13,285.64549999999997,14.4,1919.7,28,43.53
829.5,0.0,829.5,290.325,13.0,1951.11,28,44.61
820.0,0.0,820.0,287.0,14.0,1928.89,28,45.01
810.2,0.0,810.2,283.57,15.0,1905.78,28,43.21
817.8,0.0,817.8,286.22999999999996,14.2,1923.56,28,42.11
819.15,0.0,819.15,286.7025,14.1,1926.81,28,44.38
747.6,0.0,747.6,261.65999999999997,21.6,1758.52,28,39.51
755.5,0.0,755.5,264.425,20.7,1777.19,28,41.94
757.8,0.0,757.8,265.22999999999996,20.5,1782.52,28,39.68
748.2,0.0,748.2,261.87,21.5,1760.0,28,36.1
742.8,0.0,742.8,259.97999999999996,22.1,1747.26,28,35.6
742.3,0.0,742.3,259.80499999999995,22.1,1746.07,28,34.86
678.6,0.0,678.6,237.51,28.8,1596.15,28,20.63
683.5,0.0,683.5,239.225,28.3,1607.7,28,23.86
688.8,0.0,688.8,241.07999999999996,27.7,1620.15,28,22.01
673.4,0.0,673.4,235.68999999999997,29.4,1584.0,28,21.1
675.0,0.0,675.0,236.24999999999997,29.2,1587.85,28,21.87
675.6,0.0,675.6,236.45999999999998,29.1,1589.04,28,23.36
861.4,0.0,861.4,258.41999999999996,13.9,1984.0,28,48.5
858.8,0.0,858.8,257.64,14.1,1978.07,28,47.31
857.26,0.0,857.26,257.178,14.3,1974.52,28,48.88
851.1,0.0,851.1,255.32999999999998,14.9,1960.3,28,47.53
853.4,0.0,853.4,256.02,14.7,1965.63,28,48.48
851.9,0.0,851.9,255.57,14.8,1962.07,28,48.39
763.9,0.0,763.9,229.17,23.6,1759.41,28,40.21
785.7,0.0,785.7,235.71,21.4,1809.78,28,41.0
773.6,0.0,773.6,232.07999999999998,22.6,1781.93,28,40.79
770.6,0.0,770.6,231.18,22.9,1774.81,28,38.32
767.2,0.0,767.2,230.16,23.3,1767.11,28,38.86
775.4,0.0,775.4,232.61999999999998,22.4,1786.07,28,37.59
692.6,0.0,692.6,207.78,30.7,1595.26,28,25.36
698.3,0.0,698.3,209.48999999999998,30.2,1608.3,28,26.11
705.2,0.0,705.2,211.56,29.5,1624.3,28,26.47
689.3,0.0,689.3,206.79,31.1,1587.56,28,24.7
690.5,0.0,690.5,207.15,30.9,1590.52,28,24.56
684.9,0.0,684.9,205.47,31.5,1577.48,28,23.29
850.0,0.0,850.0,297.5,10.7,2000.59,28,41.23
852.0,0.0,852.0,298.2,10.4,2005.93,28,40.69
852.24,0.0,852.24,298.284,10.4,2006.52,28,38.87
844.0,0.0,844.0,295.4,11.3,1986.96,28,40.91
841.4,0.0,841.4,294.48999999999995,11.6,1981.04,28,39.77
836.6,0.0,836.6,292.81,12.1,1969.78,28,40.49
770.6,0.0,770.6,269.71,19.0,1814.22,28,30.12
759.5,0.0,759.5,265.825,20.2,1788.15,28,33.3
776.0,0.0,776.0,271.59999999999997,18.4,1828.15,28,33.83
758.5,0.0,758.5,265.47499999999997,20.3,1785.78,28,29.25
767.2,0.0,767.2,268.52,19.4,1806.22,28,30.88
758.2,0.0,758.2,265.37,20.3,1785.19,28,31.92
702.9,0.0,702.9,246.015,26.1,1654.81,28,22.86
701.0,0.0,701.0,245.35,26.3,1650.37,28,23.23
704.25,0.0,704.25,246.48749999999998,26.0,1658.07,28,24.73
693.7,0.0,693.7,242.795,27.1,1633.19,28,21.77
691.16,0.0,691.16,241.90599999999998,27.4,1627.26,28,21.56
693.0,0.0,693.0,242.54999999999998,27.2,1631.7,28,21.68
829.1,0.0,829.1,290.185,12.9,1952.0,28,39.22
831.1,0.0,831.1,290.885,12.6,1956.74,28,42.6
827.3,0.0,827.3,289.55499999999995,13.0,1947.85,28,41.92
818.5,0.0,818.5,286.47499999999997,14.0,1927.11,28,39.37
817.3,0.0,817.3,286.05499999999995,14.1,1924.15,28,38.97
826.3,0.0,826.3,289.205,13.1,1945.48,28,39.95
778.8,0.0,778.8,272.58,18.1,1833.48,28,36.85
753.3,0.0,753.3,263.655,20.8,1773.63,28,37.34
752.3,0.0,752.3,263.30499999999995,20.9,1771.26,28,36.23
765.7,0.0,765.7,267.995,19.5,1802.67,28,35.13
748.3,0.0,748.3,261.905,21.3,1761.78,28,35.15
750.9,0.0,750.9,262.815,21.1,1768.0,28,36.35
677.6,0.0,677.6,237.16,28.8,1595.26,28,26.8
678.0,0.0,678.0,237.29999999999998,28.7,1596.44,28,27.44
666.7,0.0,666.7,233.345,29.9,1569.48,28,26.3
666.0,0.0,666.0,233.1,30.0,1568.3,28,24.65
661.0,0.0,661.0,231.35,30.5,1556.15,28,26.62
660.3,0.0,660.3,231.10499999999996,30.6,1554.67,28,25.46
630.4,0.0,630.4,252.16,30.5,1516.34,28,3.23
737.2,0.0,737.2,294.88000000000005,18.8,1773.27,28,5.14
799.0,0.0,799.0,319.6,11.9,1921.82,28,6.14
624.9,0.0,624.9,249.96,31.1,1503.15,28,3.67
732.3,0.0,732.3,292.92,19.3,1761.53,28,4.92
793.8,0.0,793.8,317.52,12.5,1909.38,28,5.88
390.0,0.0,676.0,234.0,22.12,1300.0,3,0.95
390.0,0.0,637.0,273.0,20.75,1300.0,3,2.09
390.0,0.0,617.0,293.0,20.0,1300.0,3,2.2
390.0,0.0,676.0,234.0,22.12,1300.0,7,1.36
390.0,0.0,637.0,273.0,20.75,1300.0,7,3.15
390.0,0.0,617.0,293.0,20.0,1300.0,7,4.07
390.0,0.0,676.0,234.0,22.12,1300.0,28,1.79
390.0,0.0,637.0,273.0,20.75,1300.0,28,4.45
390.0,0.0,617.0,293.0,20.0,1300.0,28,5.06
390.0,0.0,676.0,234.0,22.12,1300.0,180,2.43
390.0,0.0,637.0,273.0,20.75,1300.0,180,4.8
390.0,0.0,617.0,312.0,20.0,1300.0,180,5.74
390.0,0.0,976.0,234.0,15.68,1600.0,3,2.06
390.0,0.0,937.0,273.0,14.31,1600.0,3,3.6
390.0,0.0,898.0,312.0,12.88,1600.0,3,4.55
390.0,0.0,976.0,234.0,15.68,1600.0,7,2.75
390.0,0.0,937.0,273.0,14.31,1600.0,7,5.5
390.0,0.0,898.0,312.0,12.88,1600.0,7,7.2
390.0,0.0,976.0,234.0,15.68,1600.0,28,4.35
390.0,0.0,937.0,273.0,14.31,1600.0,28,7.7
390.0,0.0,898.0,312.0,12.88,1600.0,28,8.9
390.0,0.0,976.0,234.0,15.68,1600.0,180,4.8
390.0,0.0,937.0,273.0,14.31,1600.0,180,8.75
390.0,0.0,898.0,312.0,12.88,1600.0,180,10.6
390.0,0.0,1276.0,234.0,9.23,1900.0,3,7.5
390.0,0.0,1237.0,273.0,7.87,1900.0,3,7.3
390.0,0.0,1198.0,312.0,6.5,1900.0,3,8.6
390.0,0.0,1276.0,234.0,9.23,1900.0,7,10.8
390.0,0.0,1237.0,273.0,7.87,1900.0,7,10.75
390.0,0.0,1198.0,312.0,6.5,1900.0,7,13.25
390.0,0.0,1276.0,234.0,9.23,1900.0,28,12.75
390.0,0.0,1237.0,273.0,7.87,1900.0,28,13.5
390.0,0.0,1198.0,312.0,6.5,1900.0,28,16.7
390.0,0.0,1276.0,234.0,9.23,1900.0,180,14.15
390.0,0.0,1237.0,273.0,7.87,1900.0,180,14.7
390.0,0.0,1198.0,312.0,6.5,1900.0,180,17.9
400.0,0.0,920.0,280.0,14.82,1600.0,7,7.8
400.0,0.0,720.0,280.0,19.95,1400.0,7,4.9
400.0,0.0,520.0,280.0,24.5,1200.0,7,3.8
400.0,0.0,320.0,280.0,29.07,1000.0,7,2.4
400.0,0.0,120.0,280.0,33.63,850.0,7,2.0
350.0,0.0,0.0,250.0,39.33,620.0,7,1.1
400.0,0.0,920.0,280.0,14.82,1600.0,14,8.7
400.0,0.0,720.0,280.0,19.95,1400.0,14,5.5
400.0,0.0,520.0,280.0,24.5,1200.0,14,4.2
400.0,0.0,320.0,280.0,29.07,1000.0,14,2.8
400.0,0.0,120.0,280.0,33.63,850.0,14,2.2
350.0,0.0,0.0,250.0,39.33,620.0,14,1.5
400.0,0.0,920.0,280.0,14.82,1600.0,28,9.9
400.0,0.0,720.0,280.0,19.95,1400.0,28,6.4
400.0,0.0,520.0,280.0,24.5,1200.0,28,5.2
400.0,0.0,320.0,280.0,29.07,1000.0,28,3.1
400.0,0.0,120.0,280.0,33.63,850.0,28,2.3
350.0,0.0,0.0,250.0,39.33,620.0,28,1.5
460.0,226.1,684.0,212.0,17.67,1610.0,7,19.3
650.0,320.79999999999995,0.0,291.0,21.09,1280.0,7,13.2
290.0,141.0,427.0,132.0,30.78,1050.0,7,2.6
390.0,191.89999999999998,0.0,174.0,35.91,820.0,7,4.5
460.0,226.1,684.0,212.0,17.67,1610.0,14,20.4
650.0,320.79999999999995,0.0,291.0,21.09,1280.0,14,15.7
290.0,141.0,427.0,132.0,30.78,1050.0,14,3.6
390.0,191.89999999999998,0.0,174.0,35.91,820.0,14,5.5
460.0,226.1,684.0,212.0,17.67,1610.0,28,23.7
650.0,320.79999999999995,0.0,291.0,21.09,1280.0,28,17.0
290.0,141.0,427.0,132.0,30.78,1050.0,28,4.2
390.0,191.89999999999998,0.0,174.0,35.91,820.0,28,6.6
461.0,71.0,355.0,196.0,29.07,1080.0,7,24.6
685.0,105.0,527.0,300.0,15.39,1620.0,7,28.8
461.0,71.0,355.0,196.0,29.07,1080.0,14,25.3
685.0,105.0,527.0,300.0,15.39,1620.0,14,37.5
461.0,71.0,355.0,196.0,29.07,1080.0,28,34.2
685.0,105.0,527.0,300.0,15.39,1620.0,28,44.1
475.8,0.0,713.7,214.1,21.9,1426.0,7,4.09
475.8,71.4,713.7,214.1,21.9,1431.0,7,4.53
475.8,142.7,713.7,214.1,21.9,1435.0,7,4.72
475.8,214.1,713.7,214.1,21.9,1437.0,7,3.97
475.8,285.5,713.7,214.1,21.9,1448.0,7,3.38
475.8,356.9,713.7,214.1,21.9,1453.0,7,2.97
475.8,0.0,713.7,214.1,21.9,1426.0,14,5.06
475.8,71.4,713.7,214.1,21.9,1431.0,14,5.57
475.8,142.7,713.7,214.1,21.9,1435.0,14,5.84
475.8,214.1,713.7,214.1,21.9,1437.0,14,4.82
475.8,285.5,713.7,214.1,21.9,1448.0,14,4.14
475.8,356.9,713.7,214.1,21.9,1453.0,14,3.85
475.8,0.0,713.7,214.1,21.9,1426.0,28,6.13
475.8,71.4,713.7,214.1,21.9,1431.0,28,6.98
475.8,142.7,713.7,214.1,21.9,1435.0,28,7.3
475.8,214.1,713.7,214.1,21.9,1437.0,28,5.96
475.8,285.5,713.7,214.1,21.9,1448.0,28,5.35
475.8,356.9,713.7,214.1,21.9,1453.0,28,4.74
475.8,0.0,713.7,214.1,21.9,1426.0,56,6.45
475.8,71.4,713.7,214.1,21.9,1431.0,56,7.27
475.8,142.7,713.7,214.1,21.9,1435.0,56,7.86
475.8,214.1,713.7,214.1,21.9,1437.0,56,6.26
475.8,285.5,713.7,214.1,21.9,1448.0,56,5.57
475.8,356.9,713.7,214.1,21.9,1453.0,56,5.0
475.8,0.0,713.7,214.1,21.9,1426.0,180,6.7
475.8,71.4,713.7,214.1,21.9,1431.0,180,7.54
475.8,142.7,713.7,214.1,21.9,1435.0,180,8.2
475.8,214.1,713.7,214.1,21.9,1437.0,180,6.6
475.8,285.5,713.7,214.1,21.9,1448.0,180,5.84
475.8,356.9,713.7,214.1,21.9,1453.0,180,5.35
492.7,0.0,739.1,246.4,19.72,1350.0,7,6.31
468.1,24.6,739.1,246.4,19.72,1350.0,7,6.42
443.4,49.3,739.1,246.4,19.72,1350.0,7,6.67
418.8,73.9,739.1,246.4,19.72,1350.0,7,7.06
394.2,98.5,739.1,246.4,19.72,1350.0,7,6.42
369.5,123.2,739.1,246.4,19.72,1350.0,7,4.86
492.7,0.0,739.1,246.4,19.72,1350.0,14,8.8
468.1,24.6,739.1,246.4,19.72,1350.0,14,9.05
443.4,49.3,739.1,246.4,19.72,1350.0,14,9.08
418.8,73.9,739.1,246.4,19.72,1350.0,14,9.55
394.2,98.5,739.1,246.4,19.72,1350.0,14,8.62
369.5,123.2,739.1,246.4,19.72,1350.0,14,6.5
492.7,0.0,739.1,246.4,19.72,1350.0,28,10.43
468.1,24.6,739.1,246.4,19.72,1350.0,28,10.65
443.4,49.3,739.1,246.4,19.72,1350.0,28,10.82
418.8,73.9,739.1,246.4,19.72,1350.0,28,11.3
394.2,98.5,739.1,246.4,19.72,1350.0,28,10.26
369.5,123.2,739.1,246.4,19.72,1350.0,28,8.91
639.0,0.0,958.5,306.7,7.21,1750.0,7,9.14
607.1,32.0,958.5,306.7,7.21,1750.0,7,9.26
575.1,639.0,958.5,306.7,7.21,1750.0,7,9.45
543.2,95.9,958.5,306.7,7.21,1750.0,7,9.79
511.2,127.8,958.5,306.7,7.21,1750.0,7,9.01
479.3,159.8,958.5,306.7,7.21,1750.0,7,8.23
447.3,191.7,958.5,306.7,7.21,1750.0,7,7.32
607.1,32.0,958.5,306.7,7.21,1750.0,7,9.07
575.1,639.0,958.5,306.7,7.21,1750.0,7,9.14
543.2,95.9,958.5,306.7,7.21,1750.0,7,9.42
511.2,127.8,958.5,306.7,7.21,1750.0,7,8.85
479.3,159.8,958.5,306.7,7.21,1750.0,7,7.95
447.3,191.7,958.5,306.7,7.21,1750.0,7,6.88
607.1,32.0,958.5,306.7,7.21,1750.0,7,9.48
575.1,639.0,958.5,306.7,7.21,1750.0,7,10.1
543.2,95.9,958.5,306.7,7.21,1750.0,7,10.29
511.2,127.8,958.5,306.7,7.21,1750.0,7,9.38
479.3,159.8,958.5,306.7,7.21,1750.0,7,8.28
447.3,191.7,958.5,306.7,7.21,1750.0,7,7.54
639.0,0.0,958.5,306.7,7.21,1750.0,14,12.12
607.1,32.0,958.5,306.7,7.21,1750.0,14,12.41
575.1,639.0,958.5,306.7,7.21,1750.0,14,12.73
543.2,95.9,958.5,306.7,7.21,1750.0,14,13.13
511.2,127.8,958.5,306.7,7.21,1750.0,14,12.16
479.3,159.8,958.5,306.7,7.21,1750.0,14,10.96
447.3,191.7,958.5,306.7,7.21,1750.0,14,9.87
607.1,32.0,958.5,306.7,7.21,1750.0,14,12.32
575.1,639.0,958.5,306.7,7.21,1750.0,14,12.45
543.2,95.9,958.5,306.7,7.21,1750.0,14,12.61
511.2,127.8,958.5,306.7,7.21,1750.0,14,11.92
479.3,159.8,958.5,306.7,7.21,1750.0,14,10.6
447.3,191.7,958.5,306.7,7.21,1750.0,14,9.47
607.1,32.0,958.5,306.7,7.21,1750.0,14,12.85
575.1,639.0,958.5,306.7,7.21,1750.0,14,13.57
543.2,95.9,958.5,306.7,7.21,1750.0,14,13.85
511.2,127.8,958.5,306.7,7.21,1750.0,14,12.65
479.3,159.8,958.5,306.7,7.21,1750.0,14,11.12
447.3,191.7,958.5,306.7,7.21,1750.0,14,10.2
639.0,0.0,958.5,306.7,7.21,1750.0,28,14.5
607.1,32.0,958.5,306.7,7.21,1750.0,28,14.7
575.1,639.0,958.5,306.7,7.21,1750.0,28,14.95
543.2,95.9,958.5,306.7,7.21,1750.0,28,15.4
511.2,127.8,958.5,306.7,7.21,1750.0,28,14.1
479.3,159.8,958.5,306.7,7.21,1750.0,28,13.05
447.3,191.7,958.5,306.7,7.21,1750.0,28,11.65
607.1,32.0,958.5,306.7,7.21,1750.0,28,14.5
575.1,639.0,958.5,306.7,7.21,1750.0,28,14.65
543.2,95.9,958.5,306.7,7.21,1750.0,28,14.9
511.2,127.8,958.5,306.7,7.21,1750.0,28,14.0
479.3,159.8,958.5,306.7,7.21,1750.0,28,12.55
447.3,191.7,958.5,306.7,7.21,1750.0,28,11.1
607.1,32.0,958.5,306.7,7.21,1750.0,28,15.15
575.1,639.0,958.5,306.7,7.21,1750.0,28,15.85
543.2,95.9,958.5,306.7,7.21,1750.0,28,16.2
511.2,127.8,958.5,306.7,7.21,1750.0,28,14.9
479.3,159.8,958.5,306.7,7.21,1750.0,28,13.1
447.3,191.7,958.5,306.7,7.21,1750.0,28,11.9
284.4,0.0,426.6,128.0,38.5,751.0,7,1.77
293.2,0.0,426.6,128.0,38.5,754.0,7,1.98
301.9,0.0,426.6,128.0,38.5,756.0,7,2.22
310.7,0.0,426.6,128.0,38.5,758.0,7,2.32
319.5,0.0,426.6,128.0,38.5,761.0,7,2.9
328.3,0.0,426.6,128.0,38.5,762.0,7,2.02
337.1,0.0,426.6,128.0,38.5,764.0,7,1.82
284.4,0.0,426.6,128.0,38.5,751.0,28,2.03
293.2,0.0,426.6,128.0,38.5,754.0,28,2.29
301.9,0.0,426.6,128.0,38.5,756.0,28,2.57
310.7,0.0,426.6,128.0,38.5,758.0,28,2.69
319.5,0.0,426.6,128.0,38.5,761.0,28,3.36
328.3,0.0,426.6,128.0,38.5,762.0,28,2.33
337.1,0.0,426.6,128.0,38.5,764.0,28,2.1
284.4,0.0,426.6,128.0,38.5,751.0,56,2.3
293.2,0.0,426.6,128.0,38.5,754.0,56,2.59
301.9,0.0,426.6,128.0,38.5,756.0,56,2.9
310.7,0.0,426.6,128.0,38.5,758.0,56,3.02
319.5,0.0,426.6,128.0,38.5,761.0,56,3.8
328.3,0.0,426.6,128.0,38.5,762.0,56,2.63
337.1,0.0,426.6,128.0,38.5,764.0,56,2.37
375.0,0.0,562.0,169.0,31.0,1000.0,7,3.3
386.4,11.4,562.0,169.0,31.0,1000.0,7,4.42
397.7,22.7,562.0,169.0,31.0,1000.0,7,4.75
409.1,34.1,562.0,169.0,31.0,1000.0,7,5.68
420.4,45.4,562.0,169.0,31.0,1000.0,7,4.45
483.0,0.0,725.0,217.0,21.0,1300.0,7,12.1
497.5,14.5,725.0,217.0,21.0,1300.0,7,12.91
511.9,28.9,725.0,217.0,21.0,1300.0,7,13.91
526.4,43.4,725.0,217.0,21.0,1300.0,7,14.79
540.8,57.8,725.0,217.0,21.0,1300.0,7,12.16
591.0,0.0,887.0,266.0,12.0,1600.0,7,7.21
608.6,17.6,887.0,266.0,12.0,1600.0,7,8.25
626.1,35.1,887.0,266.0,12.0,1600.0,7,9.58
643.7,52.7,887.0,266.0,12.0,1600.0,7,9.92
661.3,70.3,887.0,266.0,12.0,1600.0,7,8.3
375.0,0.0,562.0,169.0,31.0,1000.0,28,4.13
386.4,11.4,562.0,169.0,31.0,1000.0,28,5.53
397.7,22.7,562.0,169.0,31.0,1000.0,28,5.94
409.1,34.1,562.0,169.0,31.0,1000.0,28,7.1
420.4,45.4,562.0,169.0,31.0,1000.0,28,5.64
483.0,0.0,725.0,217.0,21.0,1300.0,28,15.13
497.5,14.5,725.0,217.0,21.0,1300.0,28,16.01
511.9,28.9,725.0,217.0,21.0,1300.0,28,17.39
526.4,43.4,725.0,217.0,21.0,1300.0,28,17.94
540.8,57.8,725.0,217.0,21.0,1300.0,28,15.2
591.0,0.0,887.0,266.0,12.0,1600.0,28,9.08
608.6,17.6,887.0,266.0,12.0,1600.0,28,10.02
626.1,35.1,887.0,266.0,12.0,1600.0,28,11.78
643.7,52.7,887.0,266.0,12.0,1600.0,28,12.62
661.3,70.3,887.0,266.0,12.0,1600.0,28,10.38
375.0,0.0,562.0,169.0,31.0,1000.0,56,4.62
386.4,11.4,562.0,169.0,31.0,1000.0,56,6.19
397.7,22.7,562.0,169.0,31.0,1000.0,56,6.65
409.1,34.1,562.0,169.0,31.0,1000.0,56,7.95
420.4,45.4,562.0,169.0,31.0,1000.0,56,6.35
483.0,0.0,725.0,217.0,21.0,1300.0,56,16.94
497.5,14.5,725.0,217.0,21.0,1300.0,56,17.93
511.9,28.9,725.0,217.0,21.0,1300.0,56,19.47
526.4,43.4,725.0,217.0,21.0,1300.0,56,20.71
540.8,57.8,725.0,217.0,21.0,1300.0,56,17.02
591.0,0.0,887.0,266.0,12.0,1600.0,56,10.09
608.6,17.6,887.0,266.0,12.0,1600.0,56,11.76
626.1,35.1,887.0,266.0,12.0,1600.0,56,13.18
643.7,52.7,887.0,266.0,12.0,1600.0,56,13.87
661.3,70.3,887.0,266.0,12.0,1600.0,56,11.62
194.1,0.0,291.2,87.4,46.3,500.0,7,0.76
194.1,3.1,291.1,87.4,46.3,500.0,7,0.92
194.1,6.2,291.2,87.4,46.3,500.0,7,1.08
194.1,9.3,291.1,87.4,46.3,500.0,7,1.25
194.1,12.4,291.2,87.4,46.3,500.0,7,1.21
194.1,15.5,291.1,87.4,46.3,500.0,7,0.72
266.3,0.0,399.5,119.9,40.0,700.0,7,1.67
266.3,4.1,399.5,119.9,40.0,700.0,7,2.28
266.3,8.3,399.5,119.9,40.0,700.0,7,2.4
266.3,12.4,399.5,119.9,40.0,700.0,7,2.84
266.3,16.5,399.5,119.9,40.0,700.0,7,2.63
266.3,20.6,399.5,119.9,40.0,700.0,7,1.98
338.6,0.0,507.9,152.4,33.8,900.0,7,2.38
338.6,5.2,507.9,152.4,33.8,900.0,7,3.24
338.6,10.3,507.9,152.4,33.8,900.0,7,3.48
338.6,15.5,507.9,152.4,33.8,900.0,7,4.08
338.6,20.7,507.9,152.4,33.8,900.0,7,4.3
338.6,25.8,507.9,152.4,33.8,900.0,7,2.98
194.1,0.0,291.2,87.4,46.3,500.0,28,0.92
194.1,3.1,291.1,87.4,46.3,500.0,28,1.16
194.1,6.2,291.2,87.4,46.3,500.0,28,1.34
194.1,9.3,291.1,87.4,46.3,500.0,28,1.55
194.1,12.4,291.2,87.4,46.3,500.0,28,1.51
194.1,15.5,291.1,87.4,46.3,500.0,28,0.91
266.3,0.0,399.5,119.9,40.0,700.0,28,2.08
266.3,4.1,399.5,119.9,40.0,700.0,28,2.85
266.3,8.3,399.5,119.9,40.0,700.0,28,2.97
266.3,12.4,399.5,119.9,40.0,700.0,28,3.54
266.3,16.5,399.5,119.9,40.0,700.0,28,3.31
266.3,20.6,399.5,119.9,40.0,700.0,28,2.47
338.6,0.0,507.9,152.4,33.8,900.0,28,2.96
338.6,5.2,507.9,152.4,33.8,900.0,28,4.02
338.6,10.3,507.9,152.4,33.8,900.0,28,4.32
338.6,15.5,507.9,152.4,33.8,900.0,28,5.13
338.6,20.7,507.9,152.4,33.8,900.0,28,5.35
338.6,25.8,507.9,152.4,33.8,900.0,28,3.8
194.1,0.0,291.2,87.4,46.3,500.0,56,1.04
194.1,3.1,291.1,87.4,46.3,500.0,56,1.29
194.1,6.2,291.2,87.4,46.3,500.0,56,1.51
194.1,9.3,291.1,87.4,46.3,500.0,56,1.74
194.1,12.4,291.2,87.4,46.3,500.0,56,1.69
194.1,15.5,291.1,87.4,46.3,500.0,56,1.01
266.3,0.0,399.5,119.9,40.0,700.0,56,2.32
266.3,4.1,399.5,119.9,40.0,700.0,56,3.19
266.3,8.3,399.5,119.9,40.0,700.0,56,3.34
266.3,12.4,399.5,119.9,40.0,700.0,56,3.92
266.3,16.5,399.5,119.9,40.0,700.0,56,3.69
266.3,20.6,399.5,119.9,40.0,700.0,56,2.76
338.6,0.0,507.9,152.4,33.8,900.0,56,3.32
338.6,5.2,507.9,152.4,33.8,900.0,56,4.51
338.6,10.3,507.9,152.4,33.8,900.0,56,4.81
338.6,15.5,507.9,152.4,33.8,900.0,56,5.78
338.6,20.7,507.9,152.4,33.8,900.0,56,6.02
338.6,25.8,507.9,152.4,33.8,900.0,56,4.19
230.2,0.0,345.4,103.6,43.2,600.0,7,0.99
230.2,7.2,345.4,103.6,43.2,600.0,7,1.23
230.2,14.4,345.4,103.6,43.2,600.0,7,1.43
230.2,21.7,345.4,103.6,43.2,600.0,7,1.62
230.2,28.9,345.4,103.6,43.2,600.0,7,1.48
446.9,0.0,670.4,201.1,24.4,1200.0,7,3.14
446.9,13.4,670.4,201.1,24.4,1200.0,7,4.19
446.9,26.9,670.4,201.1,24.4,1200.0,7,4.49
446.9,40.3,670.4,201.1,24.4,1200.0,7,5.38
446.9,53.7,670.4,201.1,24.4,1200.0,7,4.57
230.2,0.0,345.4,103.6,43.2,600.0,28,1.24
230.2,7.2,345.4,103.6,43.2,600.0,28,1.52
230.2,14.4,345.4,103.6,43.2,600.0,28,1.77
230.2,21.7,345.4,103.6,43.2,600.0,28,2.01
230.2,28.9,345.4,103.6,43.2,600.0,28,1.88
446.9,0.0,670.4,201.1,24.4,1200.0,28,3.87
446.9,13.4,670.4,201.1,24.4,1200.0,28,5.16
446.9,26.9,670.4,201.1,24.4,1200.0,28,5.6
446.9,40.3,670.4,201.1,24.4,1200.0,28,6.7
446.9,53.7,670.4,201.1,24.4,1200.0,28,5.68
230.2,0.0,345.4,103.6,43.2,600.0,56,1.38
230.2,7.2,345.4,103.6,43.2,600.0,56,1.69
230.2,14.4,345.4,103.6,43.2,600.0,56,1.97
230.2,21.7,345.4,103.6,43.2,600.0,56,2.25
230.2,28.9,345.4,103.6,43.2,600.0,56,2.11
446.9,0.0,670.4,201.1,24.4,1200.0,56,4.41
446.9,13.4,670.4,201.1,24.4,1200.0,56,5.87
446.9,26.9,670.4,201.1,24.4,1200.0,56,6.22
446.9,40.3,670.4,201.1,24.4,1200.0,56,7.49
446.9,53.7,670.4,201.1,24.4,1200.0,56,6.38
284.4,0.0,426.6,128.0,38.5,751.0,7,1.77
284.4,8.8,426.6,128.0,38.5,754.0,7,1.98
284.4,17.5,426.6,128.0,38.5,756.0,7,2.22
284.4,26.3,426.6,128.0,38.5,758.0,7,2.32
284.4,35.1,426.6,128.0,38.5,761.0,7,2.9
