Model,RMSE,MAE,R2
Linear Regression,6.464954871088242,4.6763300564407055,0.7056560147664795
Ridge Regression,6.464954779149948,4.676329926183086,0.7056560231382267
Lasso Regression,6.464969617661123,4.6763248239471125,0.7056546719667022
