Model,RMSE,MAE,R2
Linear Regression,6.464954871088242,4.6763300564407055,0.7056560147664795
Ridge Regression,6.464954779149948,4.676329926183086,0.7056560231382267
Lasso Regression,6.464969617661123,4.6763248239471125,0.7056546719667022
Decision Tree,3.440568023891905,1.7554218077003871,0.916634863052756
Random Forest,3.4126686141112255,1.3799093127355806,0.9179813895816433
Gradient Boosting,2.935980469338634,1.4506300406090726,0.9392941569233392
