Feature,MDG
binder(kg/m3),0.657375595195833
fine_aggregate(kg/m3),0.14798142277926632
measured_density(kg/m3),0.10278564865739126
foaming_agent(kg/m3),0.03093235887474109
period_of_testing(Days),0.029864788452326263
water(kg/m3),0.02317106488554284
pozzolan(kg/m3),0.007889121154899266
