Feature,MDA
binder(kg/m3),0.9528060617904248
fine_aggregate(kg/m3),0.17351648460546434
measured_density(kg/m3),0.09949062162541908
period_of_testing(Days),0.07548896745925626
foaming_agent(kg/m3),0.04456041261864737
water(kg/m3),0.035547344498432006
pozzolan(kg/m3),0.010300874859466647
